ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
PAÑALERA DISTRIBUIDORA CANTA CAR;CARRERA 35 No 25 73;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
CAFE INTERNET LUZMY EN LINEA;CALLE 25 No 34 - 06;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
CAFE INTERNET CW INTERNET;CALLE 25D No 36 - 07;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
PAPELERIA ESPECIAL TESORO VARIEDADES;CARRERA 40 No 25 - 90;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
CIGARRERIA MULTIVARIEDADES D NICOL;CARRERA 44A No 24A - 65;TEUSAQUILLO;QUINTA PAREDES;Fontibon;01/09/2014
CAFE INTERNET CONECTATE;CARRERA 47A No 99 - 63;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
CAFE INTERNET EDINHO COMUNICACIONES;CALLE 63 No 19 - 31;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
MISCELANEA COLLAGE;CARRERA 19 No 58 - 38;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
CAFE INTERNET MAYSUN;CALLE 57 No 27 - 14;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
PAPELERIA LA PIZARRA 001;CARRERA 21 No 52 23;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
CAFE INTERNET QUIRINAL;CALLE 60 No 57 - 22;TEUSAQUILLO;PABLO VI NORTE;Engativa;01/09/2014
CIGARRERIA EL CACIQUE;CARRERA 19 No 32 - 71;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
MISCELANEA AROCA ARIAS LUISA FERNANDA;CALLE 45 No 21 - 38;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
SUPER MERCADO CORNER 49;AVENIDA CARACAS No 47 - 93;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
SUPERMERCADO KAPI;CARRERA 19 No 45A - 33;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
DEPRISA CALLE 26;CALLE 26 NO. 33 - 29;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
QUINTA PAREDES;AV. EL DORADO CON CARRERA 50;TEUSAQUILLO;QUINTA PAREDES;Fontibon;01/09/2014
CAFE INTERNET JEMAR;CALLE 62 No 22 - 76;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
CAFE INTERNET COPIAS Y PAPELES.COM;CARRERA 24 No 62 - 24;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
CAFE INTERNET COMUNIDAD VIRTUAL;AVENIDA 28 No 39 - 40;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
DEKOPAPELERIAE ILUMINACION;DIAGONAL 43 No 15 - 15 NUEVA         AVENIDA 42 No 15 - 15 ANTIGUA;TEUSAQUILLO;SANTA TERESITA;Zona Neutra;01/09/2014
MISCELANEA COOPEJUDEBO;CALLE 63 No 59A 06;TEUSAQUILLO;CAMPO EUCARISTICO;Engativa;01/09/2014
PAPELERIA JHIROS;CARRERA 15 No  33 - 89;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
SUPERMECADO CORNER 14;TRANSVERSAL 17A BIS NRO 36 - 47;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
ESTAMPADOS DRC;CALLE 34 No. 17 - 62;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
CAFE INTERNET COMUNICACIONES JOHN.COM;CARRERA 17 No 32A - 06;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
TIENDA TELECOMUNICACIONES FLOR DE LOTO;CALLE 34 No 17 - 28;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
CAFE INTERNET I S C COMUNICACIONES;CARRERA 19 NO 45 - 30;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
DISTRIBUIDORA REDCELLAM;CALLE 47B SUR No 24B - 33 LOCAL 1101 CENTRO COMERCIAL TUNAL;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
PAPELERIA CONSULTORIAS EMPRESARIALES;TRANSVERSAL 16 BIS NO 45D - 37 LOCAL 3;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
AGENCIA DE TRANSPORTE MONSERRAT EU;CALLE 45  NRO 16 - 08;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
MISCELANEA Y FOTOCOPAS  BENEDICTO ARIAS;AVENIDA CARRERA 28 No 41 - 60 LOCAL 101;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
ASEGURADORA  ASESORAMOS INTERMEDIARIOS DE SEGUROS;CARRERA 19 No 36 - 11;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
AGENCIA DE VIAJES EXXODUS GROUP S.A.S;CARRERA 30 No 43 - 32;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
CENTRO DE COPIADO COPIANDO;CARRERA 30 No 43 - 44 PISO 1;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
DROGUERIA NUEVA ARLEQUIN;CARRERA 25  NRO 41 - 01;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
DEPRISA SOLEDAD;CRA 19 NO 39A 39;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
CIGARRERIA DOBLE VIA;AVENIDA CALLE  45 No 17 - 33;TEUSAQUILLO;SANTA TERESITA;Zona Neutra;01/09/2014
CABINAS TELEFONICAS LA 45;CALLE 45 No 19 - 19;TEUSAQUILLO;SANTA TERESITA;Zona Neutra;01/09/2014
DROGUERIA MINIMARKETS NUEVA ESPERANZA;CALLE 45 No 14 - 67;TEUSAQUILLO;SANTA TERESITA;Zona Neutra;01/09/2014
CAFE INTERNET SAN MIGUEL ARCANGEL;CARRERA 18A No 44 - 09;TEUSAQUILLO;SANTA TERESITA;Zona Neutra;01/09/2014
DROGUERIA AMERICAN;CALLE 53 No 28 - 57;TEUSAQUILLO;BELALCAZAR;Zona Neutra;01/09/2014
CAFE INTERNET SEPTIMO ARTE  GALERIAS;CALLE 53 B N 25 - 81;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
CAFE INTERNET AYM COMUNICACIONES;DIAGONAL 53C No 25 13;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
CAFE INTERNET PARALNET@.COM;CALLE 53 No 27 - 33 LOCAL 105;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
FARMAPALERMO DROGUERIA;CARRERA 24 No 45C - 60;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
PAPELERIA PAPEL Y LAPIZ FOTOCOPIAS;CARRERA 22 NO 45B - 52;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
CAFETERIA Y PAPELERIA SARITA;CARRERA 22 No 45A - 20;TEUSAQUILLO;PALERMO;Zona Neutra;01/09/2014
CAFE INTERNET MULTISERCIOS FELMAR CO;CALLE 26A No 34A - 10;TEUSAQUILLO;ACEVEDO TEJADA;Fontibon;01/09/2014
MISCELANEA Y PAPELERIA COPIAR EXPRESS;CALLE 45  NRO 28 - 55;TEUSAQUILLO;BELALCAZAR;Zona Neutra;01/09/2014
SUPERDROGUERIA PALERMO;CALLE 45 No 25A - 10;TEUSAQUILLO;BELALCAZAR;Zona Neutra;01/09/2014
FOTO ESTUDIOS MARLENY;CALLE 53 No 28A - 04;TEUSAQUILLO;BELALCAZAR;Zona Neutra;01/09/2014
CAFE INTERNET C P COMUNICAR;CALLE 25B No 32 A - 41;TEUSAQUILLO;GRAN AMERICA;Fontibon;01/09/2014
PLAZA DE LA DEMOCRACIA;AV. EL DORADO CON CARRERA 31A;TEUSAQUILLO;GRAN AMERICA;Fontibon;01/09/2014
PAPELERIA A Y E COM;CARRERA 19 No 49 - 09;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
CAFE INTERNET TU LLAVE SERVICE;CARRERA 18 No 50 - 96;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
CAFE INTERNET DESDE EL PAPEL;CALLE 53 B No 28 - 07;TEUSAQUILLO;BELALCAZAR;Zona Neutra;01/09/2014
PAPELERIA Y DETALLES PAULO VI;CARRERA 53 No 53 57 LOCAL 8;TEUSAQUILLO;PAULO VI;Engativa;01/09/2014
PAPELERIA Y MISCELANEA OGAREE;CALLE 57 No 57 - 24;TEUSAQUILLO;PAULO VI;Engativa;01/09/2014
DROGUERIA SAN GABRIEL;CALLE 57A No 53-21;TEUSAQUILLO;PAULO VI;Engativa;01/09/2014
MISCELANEA VIP;DIAGONAL 40A No 16 - 27;TEUSAQUILLO;LA MAGDALENA;Zona Neutra;01/09/2014
PAPELERIA TEUSAQUILLO VMG;TRANSVERSAL 18 BIS  NRO 37 - 80;TEUSAQUILLO;LA MAGDALENA;Zona Neutra;01/09/2014
CAFE INTERNET BACK SLASH;CARRERA 58 No 45 28;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
CAFE INTERNET COLP@AR.NET;CALLE 44F No 51 - 34;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
AGENCIA DE VIAJES TRAVEL AND LIVING COLOMBIA;CALLE 44 No 54 - 32;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
DROGUERIA KYMEDIC;CARRERA 54 No 46 - 44  ESQUINA LOCAL 1;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
TIENDA ELIWILL;CALLE 37 No 21 - 04;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
PAPELERIA CAN 1;CALLE 44 No 57 - 04;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
PAPELERIA TELENTER;AVENIDA CARRERA 24 No 39A - 19;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
PAPELERIA Y MISCELANEA LA CASTILLANA;CALLE 52 No 24 - 16;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
LIBRERIA PAPELERIA Y MISCELANEA DINAMICA;CARRERA 24 No 52 - 53;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
DROGUERIA NUEVO COLISEO;CARRERA 30 NRO 53A - 77 LOCAL 102;TEUSAQUILLO;NICOLAS DE FEDERMAN;Engativa;01/09/2014
HIPERDROGUERIA FEDERMAN;CALLE 58A BIS No 37 - 56;TEUSAQUILLO;NICOLAS DE FEDERMAN;Engativa;01/09/2014
CAFE INTERNET CIBERSOATA TELECOMUNICACIONES;CALLE 51A No 16 - 17;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
PAPELERIA GENIUSNET.COM;CARRERA 19 No 29 - 44;TEUSAQUILLO;ARMENIA;Zona Neutra;01/09/2014
CAFE INTERNET COTORREANDO.COM;CARRERA 15 No 30 - 14 LOCAL II;TEUSAQUILLO;ARMENIA;Zona Neutra;01/09/2014
ALMACEN ESOTERICO LAS 7 POTENCIAS;CALLE 32 No 15 - 23 LOCAL 202;TEUSAQUILLO;ARMENIA;Zona Neutra;01/09/2014
CAFE INTERNET JOSE DANIEL HERNANDEZ;CALLE 31 No 17 - 68 LOCAL 4;TEUSAQUILLO;ARMENIA;Zona Neutra;01/09/2014
PAPELERIA GARABATOS;AVENIDA CALLE 24 No 58 - 31 LOCAL 16;TEUSAQUILLO;CIUDAD SALITRE SUR-ORIENTAL;Fontibon;01/09/2014
CAFE INTERNET ARR NET;CALLE 34 No 28A -19;TEUSAQUILLO;ESTRELLA;Zona Neutra;01/09/2014
CAFE INTERNET EURONET J.A;CARRERA 32A No 25A - 47;TEUSAQUILLO;GRAN AMERICA;Fontibon;01/09/2014
CIGARRERIA MILAN;CALLE 53 No 55 - 79;TEUSAQUILLO;LA ESMERALDA;Engativa;01/09/2014
CAFE INTERNET AO TECHNOLOGYS Y/O NANCY BARRANTES;AVENIDA CALLE 24 No 58 - 19 LOCAL 19;TEUSAQUILLO;CIUDAD SALITRE SUR-ORIENTAL;Fontibon;01/09/2014
DISTRIBUIDORA PALERMO;CARRERA 18 No 49 - 82;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
CAFE INTERNET RATO COMUNICACIONES;CARRERA 24 No 47 - 19 ESQUINA;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
DEPRISA GALERIAS;CALLE 53 NO. 21 - 65;TEUSAQUILLO;GALERIAS;Zona Neutra;01/09/2014
CAFE INTERNET SKY COMMUNICATIONS CENTER;CARRERA 45 No 24 - 34 LOCAL 101;TEUSAQUILLO;QUINTA PAREDES;Fontibon;01/09/2014
DROGUERIA LA EMBAJADA;CALLE 24 No 43A - 84;TEUSAQUILLO;QUINTA PAREDES;Fontibon;01/09/2014
CAFE INTERNET CAPUCHINO COM;CALLE 25B No 40 - 15;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
PAPELERIA Y MISCELANEA LA FOTOCOPIADORA 10;CALLE 56 No 17 09;TEUSAQUILLO;BANCO CENTRAL;Zona Neutra;01/09/2014
MISCELANEA EIRAVATI:UN MUNDO DE CURIOSIDADES;CARRERA 17 No 54 - 09;TEUSAQUILLO;BANCO CENTRAL;Zona Neutra;01/09/2014
CAFE INTERNET NERLYS RAMOS ORTEGA;CARRERA 67A No 42 - 60;TEUSAQUILLO;EL SALITRE;Engativa;01/09/2014
MISCELANEA Y PAPELERIA TATYS;CALLE 44 No 67 -41;TEUSAQUILLO;EL SALITRE;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES AYC;CARRERA 24 No 41 - 22 LOCAL 2;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
CIGARRERIA Y CAFETERIA SARITA;AVENIDA CARRERA 28 No 34 - 04;TEUSAQUILLO;LA SOLEDAD;Zona Neutra;01/09/2014
CAN;AV. EL DORADO CON CARRERA 60;TEUSAQUILLO;CIUDAD SALITRE NOR-ORIENTAL;Fontibon;01/09/2014
CORFERIAS;AV. EL DORADO CON CARRERA 44A;TEUSAQUILLO;CIUDAD UNIVERSITARIA;Engativa;01/09/2014
GOBERNACION;AV. EL DORADO CON CARRERA 56;TEUSAQUILLO;CIUDAD SALITRE NOR-ORIENTAL;Engativa;01/09/2014
DEPRISA AVIANCA OFICINA PRINCIPAL;AVENIDA CALLE 26 NO. 59 - 15;TEUSAQUILLO;CIUDAD SALITRE NOR-ORIENTAL;Fontibon;01/09/2014
OK TIENDA DE CONVENIENCIA 4;CALLE 24A No 59 - 42 LOCAL 114A;TEUSAQUILLO;CIUDAD SALITRE NOR-ORIENTAL;Fontibon;01/09/2014
CAFE INTERNET GOBERNACION;CALLE 26 No 51 - 53 LOCAL 201;TEUSAQUILLO;CIUDAD SALITRE NOR-ORIENTAL;Fontibon;01/09/2014
PAPELERIA ACUARELA;CALLE 52 No 21 - 21  LC 2;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
D´JUANES @.COM;CALLE 51 Nº 22 - 19;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
SUBDISTRIBUIDORA DE CLARO PHONETEL CO;CARRERA 24 No 51 32;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
PAPELERIA SMART;CALLE 50 No 20 - 25;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
DROGUERIA FARMASANAR LTDA;CR 24 N° 49-37;TEUSAQUILLO;ALFONSO LOPEZ;Zona Neutra;01/09/2014
CAFE INTERNET PROYECTAMOS COMUNICACIONES;CARRERA 16 No 51A - 09;TEUSAQUILLO;QUESADA;Zona Neutra;01/09/2014
CAFE INTERNET MICRO EMPRESA DE PELUCHES YOLI;CALLE 50 No 14 - 94;TEUSAQUILLO;QUESADA;Zona Neutra;01/09/2014
CAFE INTERNET DARM;CALLE 49 No 15 - 40;TEUSAQUILLO;QUESADA;Zona Neutra;01/09/2014
CAFE INTERNET RED DIGITAL GRAFICAS SAS;CARRERA 15 No 48 - 14;TEUSAQUILLO;QUESADA;Zona Neutra;01/09/2014
CAFE INTERNET CONECTA CON EL MUNDO;CARRERA 17 No 61 A - 49 LOCAL 1;TEUSAQUILLO;SAN LUIS;Zona Neutra;01/09/2014
PAPELERIA MIS SERVICIOS;CALLE 49 No 14 - 35;TEUSAQUILLO;QUESADA;Zona Neutra;01/09/2014
DEPRISA TEUSAQUILLO 34;CALLE 34 No 28A - 79-;TEUSAQUILLO;ESTRELLA;Zona Neutra;01/09/2014
ENERGIA Y PROYECTOS LTDA;CARRERA 20 No 33A-82;TEUSAQUILLO;TEUSAQUILLO;Zona Neutra;01/09/2014
PAPELERIA DIANA MARCELA SIERRA;CARRERA 29A No 18A - 31 SUR;TEUSAQUILLO;CAMPIN OCCIDENTAL;Engativa;01/09/2014
DEPRISA CARRERA 17;CARRERA 17 N 61 34;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
CAFE INTERNET MULTISERVICE COM;CALLE 57 No 16A - 30;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
PAPALERIA MOBILE PHONES;CALLE 57 No 14 - 49;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
CABINAS TELEFONICAS ARC COMUNCIACIONES;CALLE 63 NO 15 - 07;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
DROGUERIA FARMASANAR LTDA;CARRERA 17 No 55 - 02;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
CAFE INTERNET DE LA 56;CARRERA 14 No 56 - 63;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
PAPELERIA PYP;CALLE 58 No 14A 18;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
CAFE INTERNET NATURALES 1A VARIEDADES;CALLE 57 No 14 - 31;TEUSAQUILLO;CHAPINERO OCCIDENTAL;Zona Neutra;01/09/2014
CIUDAD UNIVERSITARIA;AV. EL DORADO CON CARRERA 38;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
LIBRERIA FERIA INTERNACIONAL;CARRERA 37 No 25 - 37;TEUSAQUILLO;EL RECUERDO;Fontibon;01/09/2014
DROGUERIA COPIDROGAS CAUCA;DIAGONAL 44 SUR No 23A - 15 LOCAL 125 BLOQUE 13;TUNJUELITO;TUNAL ORIENTAL;Ciudad Bolivar;01/09/2014
PAPELERIA Y MISCELANEA JIRETH;CALLE 53 NRO 13A -19 SUR;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
CABINAS TELEFONICA S PUBLIRED R Y R SAS;DIAGONAL 51 SUR No 54B  23;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
PAPELERIA ANA SOFIA;DIAGONAL 51 SUR No 55 - 63;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET PERILLA COM;CARRERA 55A No 51B - 01 SUR;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
MISCELANEA PGE;DIAGONAL 52 No 54A - 05;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET INTEL GOLBAL STATE;CALLE 48B SUR No 31 - 87;TUNJUELITO;SAMORE;Perdomo;01/09/2014
CABINAS TELEFONICAS MARIA NET;CARRERA 31 No 48 - 20 SUR;TUNJUELITO;SAMORE;Perdomo;01/09/2014
CABINAS TELEFONICAS ANA VILLAMARIN;CALLE 52 SUR No 16 - 64;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
CAFE INTERNET FINALTEL TUNAL;CARRERA 24 BIS No 45 - 65 SUR;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
MISCELANEA Y PAPELERIA SAN MIGUEL A;CALLE 53B SUR No 35 - 21;TUNJUELITO;SAN VICENTE FERRER;Perdomo;01/09/2014
SIN BOGOTA VENECIA;AUTOPISTA SUR No 49 - 67;TUNJUELITO;VENECIA;Perdomo;01/09/2014
CIGARRERIA EL EMPORIO;CALLE 55 SUR No 32 - 06;TUNJUELITO;SAN VICENTE FERRER;Perdomo;01/09/2014
CAFE INTERNET SOLUTECNO.NET;CALLE 55A No 32 - 08;TUNJUELITO;SAN VICENTE FERRER;Perdomo;01/09/2014
PAPELERIA TUNJUELITO;CARRERA 14 No 54 05 SUR;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
CAFE INTERNET TELECENTRO;CALLE 62B SUR No 66A - 56 LOCAL 102;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
DROGUERIA INTERFAMILAR;CARRERA 14 No 51 - 61 SUR;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
CAFE INTERNET 2 CLICK;CALLE 67 B  NRO 64 - 58;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
CIGARRERIA ILUSIONES GC TELECOMUNICACIONES;CARRERA 30 SUR No 56F - 40;TUNJUELITO;MUZU;Perdomo;01/09/2014
CAFE INTERNET COMUNICACIONES PIPE;CARRERA 9 SUR No 52 - 34;TUNJUELITO;ABRAHAM LINCOLN;Ciudad Bolivar;01/09/2014
CAFE INTERNET MECHAS.COM;CARRERA 7 No 51 - 14 SUR;TUNJUELITO;ABRAHAM LINCOLN;Ciudad Bolivar;01/09/2014
CAFE INTERNET ALEXANDER MORENO INTERNET;DIAGONAL 49 SUR No 29 - 77;TUNJUELITO;EL CARMEN;Perdomo;01/09/2014
DROGUERIA STRAUS;CARRERA 25 NRO 51B -03 SUR;TUNJUELITO;EL CARMEN;Ciudad Bolivar;01/09/2014
PAPELERIA NUEVA VIDA NET;CARRERA 28 No 51A - 43 SUR LOCAL 101;TUNJUELITO;EL CARMEN;Perdomo;01/09/2014
CAFE INTERNET COMUNICACIONES IRIS;DIAGONAL 51A No 27 - 38 SUR;TUNJUELITO;EL CARMEN;Perdomo;01/09/2014
DEPRISA VENECIA KR 54;AVENIDA 54 NO 46 -39 SUR;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
PAPELERIA INTERRRAPIDISIMO VENECIA;AUTOPISTA SUR No 54A-81;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET CHEILA NET;CALLE 67B No 64 - 88 SUR;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
ESTUDIO FOTOGRAFICO FOTOFILM DIGITALES;CARRERA 54 No 47A - 15 SUR;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET COMUNICACION ELIBETH;CARRERA 54 No 46 - 53 SUR;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET CONTACTO VENECIAL;CARRERA 54 No 46 - 63 SUR;TUNJUELITO;VENECIA OCCIDENTAL;Perdomo;01/09/2014
CAFE INTERNET  SERVIRED J E;CR 19A No 51 SUR- 01;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
MISCELANEA Y PAPELERIA AGAPE;CALLE 65 SUR No 64 - 86;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
CAFE INTERNET ASDITELL COMUNICACIONES;CARRERA 32 No 52 09 SUR;TUNJUELITO;EL CARMEN;Perdomo;01/09/2014
CAFE INTERNET JM COMUNICACIONES;DIAGONAL 50 No 56A - 51 SUR;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
DEPRISA VENECIA AUTOSUR;AUTOPISTA SUR NO. 49 -15 SUR;TUNJUELITO;ESCUELA GENERAL SANTANDER;Perdomo;01/09/2014
CAFE INTERNET VALENTINA NET;CALLE 48 SUR No 26 - 82;TUNJUELITO;SAMORE;Perdomo;01/09/2014
MISCELANEA OLY;CARRERA 12 No 53 - 65 SUR;TUNJUELITO;TUNJUELITO;Ciudad Bolivar;01/09/2014
CAFE INTERNET COMUNICACIONES SEGURA;CARRERA 19A No 54 - 87 SUR;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
PAPELERIA TOMOS Y TOMOS ENCUADERNACION;CALLE 48A SUR No 29 - 22;TUNJUELITO;SAMORE;Perdomo;01/09/2014
MISCELANEA YESSIK COMUNICACIONES;CALLE 51 SUR No 31 - 36;TUNJUELITO;SAMORE;Perdomo;01/09/2014
DROGUERIA MODERNA EXPRESS LA 33;CALLE 48C SUR No 31 - 95;TUNJUELITO;SAMORE;Perdomo;01/09/2014
PLASTICOS CY No 2;CALLE 47A SUR No 27 - 21;TUNJUELITO;SAMORE;Perdomo;01/09/2014
ARTESYA PUBLICIDAD;TRANSVERSAL 33 No 48B - 32 SUR ESQUINA;TUNJUELITO;SAMORE;Perdomo;01/09/2014
FOTO ESTUDIO PUBLI FOTOS EVENTOS;CARRERA 27 No 47A - 20 SUR;TUNJUELITO;SAMORE;Perdomo;01/09/2014
PAPELERIA Y CACHERRERIA SANTY S;CARRERA 36 No 50A - 30 SUR;TUNJUELITO;FATIMA;Perdomo;01/09/2014
CAFE INTERNET A Y A PUBLICIDAD;DIAGONAL 51A SUR No 56B - 27;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
CAFE INTERNET COMUNICACIONES ALVAREZ;CARRERA 64 No 67A SUR - 04;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
DROGAS DE JHONSON´S;CALLE 57 SUR No 18C - 14;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
MISCELANEA MULTIVARIEDADES MARLEX;CARRERA 28  No 51B - 06  SUR;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
CAFE INTERNET BK. COM;DIAGONAL 51 SUR No 18B - 73;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
CAFE INTERNET 1400K;CARRERA 59B No 52- 10 SUR;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
DROGUERIA SAN CARLOS MR;CALLE 53 SUR No 17 - 18;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
CAFE INTERNET COMUNICACIONES DANNA;CALLE 55 SUR No 18 - 35;TUNJUELITO;SAN CARLOS;Ciudad Bolivar;01/09/2014
PAPELERIA Y MISCELANEA PAPER GR@PH;DIAGONAL 51A SUR No 56A - 11;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
MISCELANEA PAPEL LUNA;DIAGONAL 52A SUR No 56C - 20;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
PAPELERIA SHEKINA D;CALLE 50B SUR No 36 - 88;TUNJUELITO;FATIMA;Perdomo;01/09/2014
CABINAS TELEFONICAS PAULATEL.CLICK;DIAGONAL 51A SUR No 56A - 40;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
CAFE INTERNET JUANCONNECTION;DIAGONAL 50 SUR No 60C - 22;TUNJUELITO;NUEVO MUZU;Perdomo;01/09/2014
PAPELERIA LA GALAXIA DE GUITENBERG;CALLE 57 SUR No 17 - 47;TUNJUELITO;SAN BENITO;Ciudad Bolivar;01/09/2014
MISCELANEA Y PAPELERIA SANTI;CARRERA 64 No 65 - 05 SUR;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
CAFE INTERNET GTC INGENIEROS;CARRERA 64 No 62D - 74 SUR;TUNJUELITO;ISLA DEL SOL;Perdomo;01/09/2014
